sample_id_a,sample_id_b,standardized_log_rate_distance
7273,13715,2.723995027150198
7273,15395,4.566589836242858
7273,16950,4.582427145000331
7273,17407,3.622568804831713
7273,18319,2.906930673017102
7273,26689,2.7949033452196845
7273,27084,1.9434026426679483
7273,27495,3.8695284751108576
7273,27498,3.809629663774229
7273,27872,2.571901844133263
7273,28451,3.8485111716093496
7273,28634,4.630722375175563
7273,29419,4.273154674603058
7273,29959,4.307206404672925
7273,30902,2.7843548645178147
7273,31498,4.3310985633479895
7273,32755,3.5556092274161086
7273,34287,3.905351082484851
7273,36402,3.750800821150362
7273,37318,4.919844328419258
7273,38506,4.806092398149782
7273,39172,3.3642886913041954
7273,41698,4.765219188771684
7273,43651,2.706275918528035
7273,44207,4.75568906668474
7273,46580,2.4893819203955827
7273,46829,4.458655564704931
7273,47327,4.122955231255187
7273,49029,1.0866778539773339
8859,10052,4.128527175532653
8859,12080,3.3504554736514582
8859,13577,3.7089209793054776
8859,13715,4.041527093019121
8859,15395,3.142093334180616
8859,16950,3.5329627926855456
8859,17407,5.130890744887028
8859,18319,3.344518582214405
8859,26689,3.073859539058418
8859,27084,3.4022610525613555
8859,27495,3.9992709399154123
8859,27498,3.413557962735443
8859,27872,3.4239129572924685
8859,28451,5.126255742158147
8859,28634,3.686912180571305
8859,29419,4.522255481353142
8859,29959,4.143713629897976
8859,30902,3.1779200420718063
8859,31498,4.065432785522849
8859,32755,3.077439743282474
8859,34287,2.7323206089679797
8859,36402,3.406241719026764
8859,37318,4.324808642014779
8859,38506,3.1402491407003907
8859,39172,4.353817446758834
8859,41698,3.966648521667871
8859,43651,2.854397757607524
8859,44207,4.019003716891239
8859,46580,3.980764079975607
8859,46829,2.636681162251553
8859,47327,2.550895015184959
8859,49029,3.4141728240223905
10052,12080,4.89360613825211
10052,13577,3.2082797501507616
10052,13715,3.6071855148911856
10052,15395,5.564043029385116
10052,16950,4.339043715556448
10052,17407,3.3283373459804486
10052,18319,3.1635144077779147
10052,26689,3.5881707669335206
10052,27084,2.2975827064600134
10052,27495,3.2478153131216074
10052,27498,3.644194434157993
10052,27872,2.418521428411817
10052,28451,3.324168331437174
10052,28634,5.428540413081824
10052,29419,4.477036802591813
10052,29959,4.113767186291713
10052,30902,3.097537499074682
10052,31498,4.359359516217493
10052,32755,4.87015498744544
10052,34287,4.7077165498531315
10052,36402,4.496262285438991
10052,37318,5.620520028421728
10052,38506,5.39195031834001
10052,39172,2.931748222174047
10052,41698,5.465204547843022
10052,43651,3.4892029981810784
10052,44207,5.8626127179362
10052,46580,3.25009319733826
10052,46829,4.808322801866186
10052,47327,4.116344345525846
10052,49029,2.0200825672909164
12080,13577,5.009293159786237
12080,13715,4.102715605778949
12080,15395,3.9922824336243035
12080,16950,3.640914501726118
12080,17407,4.816719846868382
12080,18319,3.93232087573129
12080,26689,2.6453596217551762
12080,27084,4.345677508791395
12080,27495,4.773385942827584
12080,27498,5.399717633891232
12080,27872,4.2697849529908805
12080,28451,4.641531119952332
12080,28634,2.560019566022723
12080,29419,4.035765999724325
12080,29959,5.770192121337187
12080,30902,4.071619086562665
12080,31498,3.7362305863322094
12080,32755,2.41787983172242
12080,34287,3.0626762111463477
12080,36402,3.5499414914662952
12080,37318,5.737275731060331
12080,38506,2.877352896500027
12080,39172,5.627932733688599
12080,41698,2.914877725152553
12080,43651,3.656219804177865
12080,44207,3.700479362719174
12080,46580,3.7829553832059006
12080,46829,2.634531523983337
12080,47327,3.088133482400695
12080,49029,4.435272863596074
13577,13715,3.106394284015274
13577,15395,3.966341820918535
13577,16950,4.148447297188511
13577,17407,4.225269757741316
13577,18319,3.356309838565383
13577,26689,3.761292883596934
13577,27084,3.5167216190992914
13577,27495,4.151778867177415
13577,27498,2.6304592131005253
13577,27872,2.9970838810778
13577,28451,3.4731061607727196
13577,28634,4.441738333390423
13577,29419,4.8828660919708655
13577,29959,3.3483693911471706
13577,30902,2.4696418433003786
13577,31498,3.7014552266921497
13577,32755,4.365874946510382
13577,34287,4.815282441604546
13577,36402,3.106698584302964
13577,37318,3.8126576482515833
13577,38506,5.3806409330300395
13577,39172,2.9444059569255563
13577,41698,5.5529616296100475
13577,43651,3.167231843825173
13577,44207,5.509548628986535
13577,46580,4.4010519331721305
13577,46829,4.488571163592339
13577,47327,3.5584363128454894
13577,49029,3.11095176051884
13715,15395,4.3580065756191875
13715,16950,3.7231263357862265
13715,17407,3.3341248801133525
13715,18319,4.199914740861936
13715,26689,3.113455141972091
13715,27084,2.8810252545008663
13715,27495,4.865517983163718
13715,27498,3.8112108450684485
13715,27872,3.2194953793410193
13715,28451,3.7509819130958886
13715,28634,3.8151405932146947
13715,29419,4.514789459639988
13715,29959,4.442061659989951
13715,30902,1.9831923592396368
13715,31498,3.964281158888373
13715,32755,3.9676914234220555
13715,34287,4.224446911878974
13715,36402,3.5292023479330963
13715,37318,4.96840654708676
13715,38506,5.446048858104442
13715,39172,3.0259191841567925
13715,41698,4.990562094550186
13715,43651,2.9482827497151067
13715,44207,4.759825289729322
13715,46580,2.732145352631009
13715,46829,4.395848368896843
13715,47327,4.075233819079131
13715,49029,3.1853787575200676
15395,16950,4.484140419202896
15395,17407,5.732293728009
15395,18319,4.819692774204233
15395,26689,3.555961030713551
15395,27084,5.089269197361752
15395,27495,5.780124973519788
15395,27498,3.98662971690779
15395,27872,4.8724161007196285
15395,28451,5.466473460264088
15395,28634,2.7206328999618883
15395,29419,4.927969464702503
15395,29959,4.550415217873485
15395,30902,3.963113024735207
15395,31498,5.205296747037598
15395,32755,2.8768832806295257
15395,34287,3.3721781002365834
15395,36402,2.814453719454005
