cell_id,date,voltage_mV,control_relation,control_plateau_level_nA,ro25_plateau_level_nA,delta_plateau_level_nA,ratio_plateau_magnitude,control_qc_flags,ro25_qc_flags
2022-12-22_cell1,2022-12-22,-70,same_day_reference,-0.0346226692199707,-0.0328447669744491,0.0017779022455215,0.948649186051316,none,none
2022-12-22_cell1,2022-12-22,-60,same_day_reference,-0.0411729142069816,-0.0357143729925155,0.005458541214466,0.8674239771558241,none,none
2022-12-22_cell1,2022-12-22,-40,same_day_reference,-0.043730616569519,-0.0234560668468475,0.0202745497226715,0.5363763122241637,none,none
2022-12-22_cell1,2022-12-22,-20,same_day_reference,-0.0438553690910339,-0.0145664662122726,0.0292889028787612,0.3321478421954657,none,none
2022-12-22_cell2,2022-12-22,-80,same_day_reference,-0.0485341101884841,-0.0291953086853027,0.0193388015031814,0.6015420612827054,none,none
2022-12-22_cell2,2022-12-22,-70,same_day_reference,-0.0346226692199707,-0.0267311930656433,0.0078914761543273,0.772071988321007,none,none
2022-12-22_cell2,2022-12-22,-60,same_day_reference,-0.0411729142069816,-0.0250156819820404,0.0161572322249412,0.6075761811826892,none,none
2022-12-22_cell2,2022-12-22,-40,same_day_reference,-0.043730616569519,-0.0245165824890136,0.0192140340805053,0.5606274142062322,none,none
2022-12-22_cell2,2022-12-22,-20,same_day_reference,-0.0438553690910339,-0.0182158946990966,0.0256394743919372,0.4153629322166815,none,none
2022-12-23_cell_unknown,2022-12-23,-80,same_day_reference,-0.0927948951721191,-0.1093263626098632,-0.0165314674377441,1.1781506127797332,none,none
2022-12-23_cell_unknown,2022-12-23,-70,same_day_reference,-0.0810985565185546,-0.0990333557128906,-0.0179347991943359,1.221148192572732,none,none
2022-12-23_cell_unknown,2022-12-23,-60,same_day_reference,-0.0912356376647949,-0.0732223987579345,0.0180132389068603,0.8025635665194554,none,none
2022-12-23_cell_unknown,2022-12-23,-40,same_day_reference,-0.07228684425354,-0.0725982189178466,-0.0003113746643066,1.0043074873100633,none,none
2022-12-23_cell_unknown,2022-12-23,-20,same_day_reference,-0.08811616897583,-0.0704927444458007,0.0176234245300292,0.7999978354158437,none,none
