prior,condition_id,G_peak,tau_G_ms,braess_fraction,braess_r_median,braess_r_q90,braess_r_max,fraction_reaches_experimental_min
broad,G500_T150,0.5,15.0,0.1364,1.0126643110705649,1.0755524527568,1.439814796520423,0.0
broad,G500_T200,0.5,20.0,0.1334,1.0114024545409794,1.0734720893502956,1.4363741976830735,0.0
broad,G500_T300,0.5,30.0,0.1196,1.011599774623826,1.0724390040358778,1.4274100201937632,0.0
broad,G500_T400,0.5,40.0,0.112,1.010800432259639,1.0658735678130935,1.416848120395998,0.0
broad,G650_T030,0.65,3.0,0.162,1.0121015972385372,1.085321672385861,1.449459659369477,0.0
broad,G650_T050,0.65,5.0,0.1796,1.0121521717800586,1.084989884192863,1.48714344397008,0.0
broad,G650_T075,0.65,7.5,0.187,1.011825156221434,1.0829118080319222,1.5244367328532158,0.0
broad,G650_T100,0.65,10.0,0.188,1.011391060681119,1.0827520061478928,1.5338059859694295,0.0
broad,G650_T150,0.65,15.0,0.1856,1.011025828441527,1.079794575791576,1.5260417830414257,0.0
broad,G650_T200,0.65,20.0,0.1824,1.0106493419017024,1.0771260812339292,1.5066799209595032,0.0
broad,G650_T300,0.65,30.0,0.1694,1.0104365524827967,1.080486951855673,1.4627469991498832,0.0
broad,G650_T400,0.65,40.0,0.1576,1.0113182573885091,1.0791348195984205,1.4319466072158522,0.0
broad,G800_T030,0.8,3.0,0.218,1.010234422320785,1.083954969294,1.631569706962833,0.0
broad,G800_T050,0.8,5.0,0.2358,1.0097092150259734,1.077138300228224,1.699152480619975,0.0002
broad,G800_T075,0.8,7.5,0.2418,1.009741512845859,1.0769163228152026,1.7210164263969188,0.0002
broad,G800_T100,0.8,10.0,0.2404,1.00956077165811,1.0776205113513109,1.725005721811396,0.0002
broad,G800_T150,0.8,15.0,0.2378,1.009288068339481,1.0767507840482045,1.7173404150763374,0.0002
broad,G800_T200,0.8,20.0,0.2354,1.0090981615870227,1.0743553504093062,1.703165196220274,0.0002
broad,G800_T300,0.8,30.0,0.2228,1.0091962474685,1.075476998325795,1.6722608861844377,0.0002
broad,G800_T400,0.8,40.0,0.215,1.0089538855917983,1.0769430209033568,1.6447816584607775,0.0002
broad,G950_T030,0.95,3.0,0.2872,1.00837917990014,1.06971066710221,1.851611113895099,0.0002
broad,G950_T050,0.95,5.0,0.292,1.0084583225941557,1.0692393405700302,1.869791656019267,0.0002
broad,G950_T075,0.95,7.5,0.2934,1.0084507444410475,1.0688599102014371,1.8744088177732192,0.0002
broad,G950_T100,0.95,10.0,0.2938,1.0084110783569542,1.0683730490640173,1.87464407723554,0.0002
broad,G950_T150,0.95,15.0,0.2928,1.00833356056472,1.0687541134274277,1.871422229631268,0.0002
broad,G950_T200,0.95,20.0,0.2922,1.0081157812636934,1.0678530650339766,1.866645403358909,0.0002
broad,G950_T300,0.95,30.0,0.2876,1.0079868993276673,1.068168610061454,1.8564601632219584,0.0002
broad,G950_T400,0.95,40.0,0.2842,1.0079596267796689,1.0679271430998618,1.8472207129470972,0.0002
reference,G100_T030,0.1,3.0,0.0,,,,0.0
reference,G100_T050,0.1,5.0,0.0,,,,0.0
reference,G100_T075,0.1,7.5,0.0002,1.0002844116223604,1.0002844116223604,1.0002844116223604,0.0
reference,G100_T100,0.1,10.0,0.0002,1.0088509587662056,1.0088509587662056,1.0088509587662056,0.0
reference,G100_T150,0.1,15.0,0.0,,,,0.0
reference,G100_T200,0.1,20.0,0.0,,,,0.0
reference,G100_T300,0.1,30.0,0.0,,,,0.0
reference,G100_T400,0.1,40.0,0.0,,,,0.0
reference,G150_T030,0.15,3.0,0.0014,1.0080708533250486,1.0267651348841236,1.032546736051882,0.0
reference,G150_T050,0.15,5.0,0.0094,1.0234477021998634,1.0392647087165858,1.0596323805559882,0.0
reference,G150_T075,0.15,7.5,0.0172,1.021579266449728,1.0529618230429143,1.08732202038505,0.0
reference,G150_T100,0.15,10.0,0.019,1.0201051602183042,1.0579942029561762,1.102935450563261,0.0
reference,G150_T150,0.15,15.0,0.0176,1.0172340794989734,1.0613305600750005,1.0803698950984029,0.0
reference,G150_T200,0.15,20.0,0.0124,1.0146846192626682,1.0586728663003864,1.0784902054018235,0.0
reference,G150_T300,0.15,30.0,0.0088,1.0064414757023123,1.038783478634255,1.055586690334125,0.0
reference,G150_T400,0.15,40.0,0.0058,1.0030009652988157,1.0167658303841112,1.0282789668280998,0.0
reference,G200_T030,0.2,3.0,0.0184,1.0186044811422397,1.0450938149784412,1.0721869377154507,0.0
reference,G200_T050,0.2,5.0,0.0432,1.026502922202825,1.0546546291334642,1.1088298529985596,0.0
reference,G200_T075,0.2,7.5,0.059,1.0273083969199592,1.0579745830808336,1.1122243929681366,0.0
reference,G200_T100,0.2,10.0,0.065,1.0253386701113971,1.0613360665086555,1.1159129379177075,0.0
reference,G200_T150,0.2,15.0,0.0608,1.0227261437523878,1.0659902514907715,1.1297833750470585,0.0
reference,G200_T200,0.2,20.0,0.0566,1.0163916371313364,1.0605775821099512,1.1415896707515758,0.0
reference,G200_T300,0.2,30.0,0.0422,1.0067115149614363,1.0587253252496736,1.1123017088946952,0.0
reference,G200_T400,0.2,40.0,0.0312,1.005251580732202,1.0509127885803653,1.100471932173858,0.0
reference,G250_T030,0.25,3.0,0.052,1.0251861178178414,1.0524518119757758,1.1032843049556411,0.0
