sample_id_a,sample_id_b,mode,lambda,calibration_score,calibration_H,calibration_E,calibration_L,calibration_J_corrected_140_500_ms,calibration_J_full_0_600_ms,r_plateau_dt0p05,control_plateau_PO_dt0p05,blocked_plateau_PO_dt0p05,G_peak,tau_G_ms,minimum_state_control,minimum_state_blocked,compatible_midpoint,compatible_strict,strong,kon_A_per_ms,kon_B_per_ms,koff_A_per_ms,koff_B_per_ms,kf_plus_per_ms,ks_plus_per_ms,kf_minus_per_ms,ks_minus_per_ms,kd1_plus_per_ms,kd1_minus_per_ms,kd2_plus_per_ms,kd2_minus_per_ms,pulse_amplitude_au,glutamate_tau_ms,path_role
27084,30902,native_aux,0.25,0.0358620858192365,0.0002983968149365,0.0003355481856975,0.0002015272842564,0.0805910764187955,0.6766878669401709,3.64320887070224,0.0008874984413606,0.0032333421942994,0.5,40.0,0.0,0.0,True,True,True,0.8218809720876976,0.421736371618752,0.6172113021586237,0.0046616351920932,0.2783615378550808,0.1959457628912233,0.2533954388269432,0.5626354353241869,0.1458403761763036,0.2695533450273971,0.7138391894837133,0.0006962436806268,0.5960553969431746,20.429816190529795,internal_native
27084,30902,native_aux,0.275,0.0345342671550916,0.0002921269803552,0.0003286399116078,0.0001970163548492,0.0788233011512546,0.6483038767336814,3.5908431806895926,0.0008788864613323,0.0031559434562756,0.5,40.0,0.0,0.0,True,True,True,0.8133410004695587,0.4185921321780219,0.6177072969779135,0.0045869757760706,0.2796490955501856,0.1821298175849478,0.2483379331379445,0.5639042420017716,0.1479587820317377,0.2588063555941701,0.7121910570366407,0.0007165322075286,0.5908732036944326,20.44176650817742,internal_native
27084,30902,native_aux,0.3,0.033188164278347,0.0002859917471038,0.0003218755279951,0.0001925980732814,0.0770919536641528,0.6211682794825272,3.5350113588216154,0.0008713184680453,0.0030801206816913,0.5,40.0,0.0,0.0,True,True,True,0.8048897656852382,0.4154713344945741,0.6182036903817075,0.0045135120839027,0.2809426088267653,0.169288021154818,0.2433813699280712,0.5651759099822247,0.1501079588127961,0.2484878445456806,0.7105467298451542,0.0007374119416977,0.5857360651956436,20.453723816102897,internal_native
27084,30902,native_aux,0.325,0.0318266808360957,0.0002799881050166,0.0003152520216598,0.0001882704369451,0.0753962523831427,0.5952239703325926,3.476091012483259,0.0008646848777946,0.0030057233323322,0.5,40.0,0.0,0.0,True,True,True,0.7965263456911946,0.412373803799281,0.6187004826903106,0.0044412249652181,0.2822421052322853,0.1573516873103298,0.2385237344919094,0.5664504457181091,0.1522883534828693,0.2385807286115549,0.7089061991235698,0.000758900110902,0.5806435897341876,20.46568811839517,internal_native
27084,30902,native_aux,0.35,0.0304529629157956,0.0002741131316747,0.0003087664645693,0.0001840314918259,0.0737354354219449,0.5704164890939067,3.414463817935895,0.0008588807942661,0.0029326173959419,0.5,40.0,0.0,0.0,True,True,True,0.7882498280246231,0.4092993666259994,0.6191976742242845,0.0043700955763525,0.2835476124416311,0.1462569727645679,0.2337630523354405,0.5677278556765376,0.1545004194977192,0.2290686056249179,0.7072694561064885,0.0007810144449265,0.5755953890030522,20.477659419145557,internal_native
27084,30902,native_aux,0.375,0.0290704162623136,0.0002683639924848,0.000302416017398,0.0001798793310148,0.0721087603483425,0.5466938969894242,3.350512614609792,0.0008538047804361,0.0028606836872655,0.5,40.0,0.0,0.0,True,True,True,0.780059309703906,0.4062478508018563,0.6196952653044506,0.0043001053754361,0.2848591582576981,0.1359445357587294,0.2290973883734637,0.5690081463392083,0.1567446168997839,0.2199357273670547,0.7056364920487495,0.0008037731902012,0.570591078071223,20.489637722447767,internal_native
27084,30902,native_aux,0.4,0.0276827255357513,0.0002627379416798,0.0002961979345014,0.0001758120933118,0.0705155040636499,0.5240066591194075,3.2846183188037235,0.0008493578655863,0.0027898164045249,0.5,40.0,0.0,0.0,True,True,True,0.7719538971300939,0.403219085437607,0.6201932562518854,0.0042312361175606,0.2861767706119836,0.1263592186637521,0.2245248461430376,0.5702913242024356,0.1590214124138524,0.2111669734947458,0.704007298225383,0.0008271951248572,0.5656302753543323,20.5016230323979,internal_native
27084,30902,native_aux,0.425,0.0262938765022851,0.0002572323243591,0.0002901095705591,0.0001718279619137,0.0689549628076634,0.5023075323782614,3.217156721585133,0.0008454427771155,0.0027199219131128,0.5,40.0,0.0,0.0,True,True,True,0.7639327059894147,0.4002129009180651,0.6206916473879254,0.0041634698500229,0.2875004775651816,0.1174497529613922,0.2200435670326213,0.571577395777184,0.1613312795441296,0.2027478265071101,0.7023818659315632,0.0008512995742197,0.5607126025855633,20.51361535309448,internal_native
27084,30902,native_aux,0.45,0.0249081824406939,0.0002518445796986,0.0002841483891223,0.000167925163182,0.067426452301965,0.4815514585717705,3.148495249535243,0.0008419633890961,0.0026509177308519,0.5,40.0,0.0,0.0,True,True,True,0.7559948611567916,0.3972291288926038,0.6211904390341644,0.0040967889076451,0.2888303073077808,0.1091684850268007,0.2156517295265994,0.5728663675891011,0.1636746986727103,0.1946643477105098,0.7007601864825623,0.0008761064267537,0.5558376847868064,20.52561468863839,internal_native
27084,30902,native_aux,0.475,0.0235303165636216,0.0002465722454539,0.000278311973288,0.0001641019654895,0.0659293080441416,0.461695462493256,3.0789897757746307,0.000838824380386,0.002582731690879,0.5,40.0,0.0,0.0,True,True,True,0.7481394966003664,0.3942676022657278,0.6216896315124545,0.0040311759081699,0.2901662881606643,0.1014711212459032,0.2113475484648871,0.57415824617855,0.1660521571594844,0.1869031541417256,0.6991422512137045,0.0009016361504733,0.5510051502400668,20.53762104313292,internal_native
